id;Nodo origen;Nodo destino;Tipo relacion;frecuencia;detalle;id_flujo;descripcion_flujo;secuencia_flujo;cypher
47;ODSLab;TransaccionalidadPeru;DIARIO;Diario;Saldos Multifonds;0;tbd;0;"CREATE (ODSLab)-[frecuencia:DIARIO{detalle:""Saldos Multifonds"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(TransaccionalidadPeru);"

48;Consist;PAUTGWINP04;DIARIO;Diario;Saldos Consist;0;tbd;0;"CREATE (Consist)-[frecuencia:DIARIO{detalle:""Saldos Consist"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PAUTGWINP04);"

49;Seriva;PAUTGWINP04;DIARIO;Diario;Vector de precios RF y RV;0;tbd;0;"CREATE (Seriva)-[frecuencia:DIARIO{detalle:""Vector de precios RF y RV"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PAUTGWINP04);"

50;Savings;PAUTGWINP04;DIARIO;Diario;Saldos y Movimientos Savings;0;tbd;0;"CREATE (Savings)-[frecuencia:DIARIO{detalle:""Saldos y Movimientos Savings"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PAUTGWINP04);"

51;Impacs;PAUTGWINP04;DIARIO;Diario;Saldos y Movimientos Impacs;0;tbd;0;"CREATE (Impacs)-[frecuencia:DIARIO{detalle:""Saldos y Movimientos Impacs"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PAUTGWINP04);"

52;PAUTGWINP04;Datalake;DIARIO;Diario;Saldos y Movimientos consolidados WM Per£;0;tbd;0;"CREATE (PAUTGWINP04)-[frecuencia:DIARIO{detalle:""Saldos y Movimientos consolidados WM Per£"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Datalake);"

53;PRIESGOBIP01;Datalake;DIARIO;Diario;Vector de precios CC;0;tbd;0;"CREATE (PRIESGOBIP01)-[frecuencia:DIARIO{detalle:""Vector de precios CC"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Datalake);"

54;PPATP01;Datalake;DIARIO;Diario;Saldos Pac¡fico | Saldos y operaciones MiBanco;0;tbd;0;"CREATE (PPATP01)-[frecuencia:DIARIO{detalle:""Saldos Pac¡fico | Saldos y operaciones MiBanco"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Datalake);"

55;ASBINTDB01;Datalake;DIARIO;Diario;Informaci¢n InterT24;0;tbd;0;"CREATE (ASBINTDB01)-[frecuencia:DIARIO{detalle:""Informaci¢n InterT24"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Datalake);"

56;Multifonds;Datalake;DIARIO;Diario;Saldos y valor de fondos;0;tbd;0;"CREATE (Multifonds)-[frecuencia:DIARIO{detalle:""Saldos y valor de fondos"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(Datalake);"

57;Seriva;SP_MdK_PE;DIARIO;Diario;Saldos y valor de fondos;0;tbd;0;"CREATE (Seriva)-[frecuencia:DIARIO{detalle:""Saldos y valor de fondos"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(SP_MdK_PE);"

58;SP_MdK_PE;PBIPlaneamiento;DIARIO;Diario;Saldos y valor de fondos;0;tbd;0;"CREATE (SP_MdK_PE)-[frecuencia:DIARIO{detalle:""Saldos y valor de fondos"", id_flujo:0, descripcion_flujo:""tbd"", secuencia_flujo:0}]->(PBIPlaneamiento);"

